data	acc_x	acc_y	acc_z	gyro_x	gyro_y	gyro_z	mag_x	mag_y	mag_z	temp	baro
2000-01-01 00:00:05.317	   172	    -5	  4089	    -7	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.337	   180	     5	  4090	    -7	    -6	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.357	   189	    10	  4101	    -6	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.373	   164	    -3	  4089	    -5	    -5	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.392	   173	   -14	  4094	    -5	    -3	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.412	   191	    -8	  4098	    -6	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.431	   168	   -20	  4085	    -6	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.451	   163	   -26	  4098	    -7	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.471	   189	   -15	  4090	    -7	    -5	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.491	   184	     8	  4094	    -5	    -5	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.511	   201	     7	  4101	    -6	    -3	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.531	   179	    -5	  4076	    -6	    -4	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.551	   197	    11	  4090	    -6	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.571	   179	   -11	  4107	    -6	    -6	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.591	   183	    10	  4087	    -6	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.611	   191	   -22	  4100	    -6	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.631	   172	    -5	  4090	    -6	    -4	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.651	   175	     1	  4158	    -6	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.671	   193	     4	  4138	    -6	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.691	   164	    17	  4084	    -7	    -4	   -12	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.711	   211	   -11	  4071	    -6	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.731	   198	    12	  4054	    -5	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.751	   187	     5	  4092	    -6	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.771	   180	   -11	  4106	    -5	    -4	   -11	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.791	   161	    12	  4088	    -5	    -5	   -12	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.811	   192	    -4	  4109	    -7	    -5	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.831	   156	   -13	  4088	    -7	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.851	   166	    -5	  4110	    -6	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.871	   183	     6	  4093	    -7	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.890	   186	    28	  4074	    -7	    -5	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.910	   191	    -2	  4103	    -5	    -4	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.930	   176	     4	  4111	    -6	    -4	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.950	   176	    -3	  4097	    -6	    -5	   -14	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.970	   174	    18	  4093	    -7	    -6	   -13	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:05.990	   145	    27	  4134	    -6	    -5	   -12	     0	     0	     0	27.48	101815.48
2000-01-01 00:00:06.010	   173	    -9	  4116	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.030	   167	   -11	  4111	    -6	    -4	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.050	   187	     2	  4086	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.070	   191	     9	  4100	    -6	    -6	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.090	   173	    10	  4097	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.110	   195	    -2	  4103	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.130	   179	    -6	  4103	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.150	   184	    -6	  4088	    -7	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.170	   176	    -2	  4114	    -7	    -5	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.190	   173	    10	  4085	    -7	    -4	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.210	   180	    -7	  4092	    -6	    -3	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.230	   171	     1	  4100	    -6	    -4	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.250	   186	    10	  4099	    -5	    -6	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.270	   210	    -3	  4118	    -6	    -5	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.295	   169	    10	  4081	    -6	    -5	   -12	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.315	   215	    -6	  4096	    -5	    -4	   -12	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.335	   179	     0	  4092	    -5	    -5	   -12	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.355	   178	    -1	  4102	    -6	    -4	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.370	   156	   -15	  4120	    -5	    -4	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.389	   164	     2	  4086	    -6	    -4	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.409	   164	     9	  4070	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.429	   170	     5	  4100	    -5	    -6	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.449	   180	     3	  4085	    -5	    -5	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.469	   174	     0	  4095	    -5	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.489	   178	    -5	  4087	    -5	    -5	   -12	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.509	   159	    -4	  4107	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.529	   194	    -6	  4117	    -6	    -4	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.549	   184	    -2	  4083	    -7	    -5	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.569	   207	    -3	  4090	    -7	    -4	   -15	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.589	   177	   -17	  4097	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.609	   186	    -9	  4091	    -6	    -6	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.629	   193	    15	  4104	    -6	    -6	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.649	   196	     3	  4092	    -5	    -6	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.669	   180	   -23	  4105	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.689	   173	    13	  4082	    -7	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.709	   166	    10	  4093	    -6	    -4	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.729	   183	    -5	  4076	    -6	    -3	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.749	   156	    12	  4087	    -6	    -3	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.768	   189	    -8	  4080	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.788	   182	    -2	  4106	    -6	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.808	   181	     8	  4094	    -6	    -5	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.828	   174	    -7	  4095	    -6	    -5	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.848	   173	    18	  4101	    -7	    -5	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.868	   199	     0	  4086	    -8	    -5	   -15	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.888	   170	   -32	  4051	    -7	    -3	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.908	   168	    22	  4075	    -5	    -6	   -12	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.928	   175	     1	  4115	    -5	    -4	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.948	   180	    23	  4135	    -7	    -4	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.968	   193	   -12	  4130	    -7	    -5	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:06.988	   174	     0	  4101	    -6	    -6	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:07.008	   171	    -3	  4081	    -5	    -4	   -13	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:07.028	   184	   -27	  4105	    -5	    -3	   -14	     0	     0	     0	27.48	101819.58
2000-01-01 00:00:07.048	   163	     6	  4092	    -6	    -4	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.068	   185	     5	  4101	    -6	    -6	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.088	   186	     5	  4107	    -5	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.108	   177	    12	  4083	    -6	    -5	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.128	   214	   -10	  4104	    -6	    -4	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.148	   175	     1	  4088	    -5	    -5	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.168	   194	     8	  4108	    -6	    -4	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.188	   202	   -21	  4083	    -5	    -4	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.208	   182	    10	  4083	    -6	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.227	   176	     0	  4086	    -6	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.247	   158	    -2	  4097	    -6	    -6	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.267	   192	    12	  4096	    -5	    -5	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.289	   170	   -12	  4106	    -5	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.313	   180	    10	  4089	    -6	    -6	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.332	   177	   -10	  4113	    -7	    -5	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.352	   185	    -2	  4084	    -6	    -4	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.368	   175	     7	  4089	    -6	    -6	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.387	   175	   -10	  4115	    -7	    -6	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.407	   164	    -1	  4098	    -6	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.427	   184	   -16	  4104	    -5	    -5	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.447	   172	   -21	  4102	    -6	    -6	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.467	   198	    -3	  4091	    -6	    -6	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.487	   200	     3	  4105	    -5	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.507	   195	    24	  4089	    -6	    -5	   -12	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.527	   196	    12	  4096	    -5	    -6	   -11	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.547	   181	     5	  4103	    -6	    -6	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.567	   169	    -2	  4109	    -6	    -5	   -14	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.587	   180	   -14	  4100	    -5	    -5	   -13	     0	     0	     0	27.46	101806.18
2000-01-01 00:00:07.607	   178	    -5	  4113	    -5	    -4	   -13	     0	     0	     0	27.46	101806.18
